aqi,aqi_concentration,city_id,city_name,city_type,condition,country,exercise_desc,exercise_value,humidity,latitude,longitude,main_pollutant,pressure,province,temperature,timezone,url,wind_direction,wind_speed,windows_desc,windows_value
46,11.1,5bc8216841fdcdf1939d97e2,Malinau,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,98,3.58855,116.62391,pm25,1011,North Kalimantan,22,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d97e2?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,254,2.2,"Open your windows to bring clean, fresh air indoors",green
55,14.1,5bc8216941fdcdf1939d97ff,Leuwidamar,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,88,-6.5125,106.1934,pm25,1009,Banten,24,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d97ff?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,230,11.2,Close your windows to avoid dirty outdoor air,red
17,4.1,5bc8216e41fdcdf1939d9bd1,Sumohai,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,86,-4.68944,139.35472,pm25,1011,Papua,15,Asia/Jayapura,https://website-api.airvisual.com/v1/cities/5bc8216e41fdcdf1939d9bd1?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,25,4.9,"Open your windows to bring clean, fresh air indoors",green
9,2.1,5bc8216941fdcdf1939d9819,Kumurkek,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,95,-1.25667,132.49972,pm25,1009,West Papua,22,Asia/Jayapura,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d9819?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,0,2.7,"Open your windows to bring clean, fresh air indoors",green
42,10.1,5bc8216941fdcdf1939d9815,Labuhanmaringgai,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,72,-5.35074,105.80993,pm25,1009,Lampung,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d9815?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,233,8.8,"Open your windows to bring clean, fresh air indoors",green
29,7.1,5bc8216841fdcdf1939d9780,Paga,city,Rain,Indonesia,Enjoy outdoor activities,green,77,-8.7766,122.0455,pm25,1007,East Nusa Tenggara,29,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d9780?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,268,23.5,"Open your windows to bring clean, fresh air indoors",green
21,5.1,5bc8216941fdcdf1939d980d,Larompong,city,Rain,Indonesia,Enjoy outdoor activities,green,76,-3.515,120.3704,pm25,1010,South Sulawesi,27,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d980d?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,263,7.4,"Open your windows to bring clean, fresh air indoors",green
34,8.1,5bc8216841fdcdf1939d979a,Nangaroro,city,Rain,Indonesia,Enjoy outdoor activities,green,79,-8.7872,121.3923,pm25,1007,East Nusa Tenggara,28,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d979a?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,277,20.8,"Open your windows to bring clean, fresh air indoors",green
34,8.1,5bc8216d41fdcdf1939d9b2f,Pegasing,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,92,4.57669,96.77592,pm25,1011,Aceh,14,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b2f?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,242,4,"Open your windows to bring clean, fresh air indoors",green
25,6.1,5bc8216841fdcdf1939d97a4,Mujur,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,94,-8.7617,116.3548,pm25,1009,West Nusa Tenggara,26,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d97a4?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,280,5.4,"Open your windows to bring clean, fresh air indoors",green
38,9.1,5bc8216d41fdcdf1939d9b54,Sungai Iyu,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,96,4.40515,98.13249,pm25,1011,Aceh,21,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b54?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,267,2.8,"Open your windows to bring clean, fresh air indoors",green
21,5.1,5bc8216d41fdcdf1939d9b67,Sungai Nyamuk,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,88,4.14383,117.91087,pm25,1009,East Kalimantan,25,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b67?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,0,5.4,"Open your windows to bring clean, fresh air indoors",green
