aqi,aqi_concentration,city_id,city_name,city_type,condition,country,exercise_desc,exercise_value,humidity,latitude,longitude,main_pollutant,pressure,province,temperature,timezone,url,wind_direction,wind_speed,windows_desc,windows_value
51,12.1,5b7a94b36a15c1ae2d8a98b4,Pangkalan Brandan,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,4.0238,98.2782,pm25,1010,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98b4?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,14.8,Close your windows to avoid dirty outdoor air,red
42,10.1,5b7a94b46a15c1ae2d8a98c8,Lhokseumawe,city,Rain,Indonesia,Enjoy outdoor activities,green,76,5.1801,97.1507,pm25,1010,Aceh,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b46a15c1ae2d8a98c8?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,42,8.4,"Open your windows to bring clean, fresh air indoors",green
53,13.1,5b7a94b36a15c1ae2d8a98bc,Berastagi,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,3.19468,98.50889,pm25,1010,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98bc?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,14.8,Close your windows to avoid dirty outdoor air,red
57,15.1,5b7a94b36a15c1ae2d8a98c0,Pekan Bahapal,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,71,3.11313,99.17352,pm25,1010,North Sumatra,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98c0?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,68,7.9,Close your windows to avoid dirty outdoor air,red
25,6.1,5b7a94b46a15c1ae2d8a98c2,Singkil,city,Rain,Indonesia,Enjoy outdoor activities,green,65,2.2874,97.7884,pm25,1010,Aceh,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b46a15c1ae2d8a98c2?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,108,5.9,"Open your windows to bring clean, fresh air indoors",green
34,8.1,5b7a94b46a15c1ae2d8a98c4,Sigli,city,Rain,Indonesia,Enjoy outdoor activities,green,80,5.3848,95.9609,pm25,1010,Aceh,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b46a15c1ae2d8a98c4?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,98,21.4,"Open your windows to bring clean, fresh air indoors",green
34,8.1,5b7a94b46a15c1ae2d8a98ca,Bireun,city,Rain,Indonesia,Enjoy outdoor activities,green,81,5.203,96.7009,pm25,1010,Aceh,24,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b46a15c1ae2d8a98ca?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,24,7.3,"Open your windows to bring clean, fresh air indoors",green
34,8.1,5b7a94b46a15c1ae2d8a98c6,Reuleuet,city,Rain,Indonesia,Enjoy outdoor activities,green,81,5.21667,96.28333,pm25,1010,Aceh,24,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b46a15c1ae2d8a98c6?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,24,7.3,"Open your windows to bring clean, fresh air indoors",green
29,7.1,5b7a94b66a15c1ae2d8a991e,Bandar Lampung,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,66,-5.42917,105.26111,pm25,1009,Lampung,31,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b66a15c1ae2d8a991e?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,344,13.6,"Open your windows to bring clean, fresh air indoors",green
55,14.1,5b7a94b36a15c1ae2d8a98bb,Binjai,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,3.6001,98.4854,pm25,1010,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98bb?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,14.8,Close your windows to avoid dirty outdoor air,red
34,8.1,5b7a94b46a15c1ae2d8a98c5,Sabang,city,Clear sky,Indonesia,Enjoy outdoor activities,green,80,5.88969,95.31644,pm25,1010,Aceh,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b46a15c1ae2d8a98c5?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,86,29.3,"Open your windows to bring clean, fresh air indoors",green
64,18.1,5b7a94b36a15c1ae2d8a98bd,Belawan,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,3.7755,98.6832,pm25,1010,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98bd?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,14.8,Close your windows to avoid dirty outdoor air,red
